title,link,location,company,salary,description
Senior Front-end разработчик (typescript / react),https://ekaterinburg.hh.ru/vacancy/41612725?query=react,Москва,Mindbox,200 000-250 000 руб.,"Предстоит работать над переносом большого и успешного легаси UI на новую архитектуру с редизайном и улучшенным UX, делать новые фичи. "
Front-end developer with experience in React or Angular,https://ekaterinburg.hh.ru/vacancy/41838905?query=react,Санкт-Петербург,Soshace,3 500-6 500 USD,Guarantee of regular payments and reliable clients. We search for clients and do all the paperwork. After the first project...
"Senior Front-end Developer (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/41810429?query=react,Москва,HeadHunter::Frontend,от 230 000 руб.,"Работу над самым высоконагруженным job-сайтом в России. Продуктовая разработка проработка задачи с первых этапов, декомпозиция, кодинг, отслеживание результатов. "
Frontend-разработчик (React.js \ ExtJS),https://ekaterinburg.hh.ru/vacancy/41781240?query=react,Москва,CATAPULTO.RU,до 200 000 руб.,"Участие в проектировании ERP систем. Разработка нового функционала. Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение. Разработка интеграций с различными..."
Middle/Senior Frontend Developer (React/React Native),https://ekaterinburg.hh.ru/vacancy/41748141?query=react,Минск,ООО Ломрей Софтвер,,bear the cost of courses. - bear the cost of books.
Middle Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/41434244?query=react,Москва,ООО Кортекс,250 000-280 000 руб.,"Матричная структура компании с плоской иерархией. Работаем в кросс-функциональных фича-командах из аналитиков, дизайнеров, фронтов, бэков, админов и тестеров. "
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/41549725?query=react,Москва,Insilico Medicine,160 000-220 000 руб.,Работа в команде разработки проектов. Разработка и развитие SPA-приложений.
Frontend Разработчик (Стажёр) на React / React Native,https://ekaterinburg.hh.ru/vacancy/40572581?query=react,Омск,Purrweb,от 30 000 руб.,"Формат: Раз в неделю будет проходить лекция и разбор домашнего задания. Рынок программного обеспечения постоянно меняется, вы должны быть готовы..."
Junior Frontend Разработчик (React),https://ekaterinburg.hh.ru/vacancy/41484435?query=react,Москва,Геограком,80 000-120 000 руб.,"React + Redux, Node.js, Spring Boot, PostgreSQL, Oracle, Docker, MATLAB, Python, ArcGIS, Leaflet, GeoServer. Разработка и развитие SPA на React. "
Frontend разработчик (React),https://ekaterinburg.hh.ru/vacancy/41547304?query=react,Москва,ООО ЛАЙТХАУС,от 180 000 руб.,"разработка стейта приложения с логикой работы (pure-библиотека, подход похож на продвинутый Redux, но без бойлерплейта). - программирование сайд-эффектов (HTTP..."
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/41527998?query=react,Санкт-Петербург,ООО Единая Информационная Система ЖКХ,140 000-180 000 руб.,"В качестве ведущего Frontend-разработчика перенести действующий проект с Angular на React (имеется интерактивный прототип нового интерфейса в Figma, документация..."
Frontend-разработчик React/Typescript,https://ekaterinburg.hh.ru/vacancy/41614551?query=react,Москва,ООО KTS Studio,140 000-200 000 руб.,Jest для тестирования.
Frontend разработчик React.js,https://ekaterinburg.hh.ru/vacancy/41598028?query=react,Магнитогорск,Amigoweb,65 000-75 000 руб.,
Frontend developer React,https://ekaterinburg.hh.ru/vacancy/41692808?query=react,Москва,ООО ФККГруп,от 200 000 руб.,"Ежедневные стэндапы. Развитие основного приложения связка react, redux, redux-saga. Поддержка админки react-admin, graphql. Везде: поддержка responsive, использование готовых..."
Senior/Team lead Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/41422347?query=react,Москва,ООО Кортекс,от 300 000 руб.,"Матричная структура компании с плоской иерархией. Работаем в кросс-функциональных фича-командах из аналитиков, дизайнеров, фронтов, бэков, админов и тестеров. "
Разработчик JavaScript (React)/Frontend Developer,https://ekaterinburg.hh.ru/vacancy/41554094?query=react,Москва,Вивсяная Инна,150 000-200 000 руб.,
Front-End (React.js) Developer,https://ekaterinburg.hh.ru/vacancy/41895440?query=react,Запорожье,HR point,до 4 000 USD,
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/41900379?query=react,Санкт-Петербург,CS.MONEY,,
Стажер - JavaScript программист (Front-End разработчик),https://ekaterinburg.hh.ru/vacancy/41870403?query=react,Санкт-Петербург,ООО Юнипейдж,30 000-60 000 руб.,"Создание музыкального плеера по аналогии с Spotify, Soundcloud. Разработка системы тестирования и изучение английского языка нового поколения. Написание расширений для..."
Frontend разработчик (React),https://ekaterinburg.hh.ru/vacancy/41160866?query=react,Санкт-Петербург,ООО ЛИИС Инженерные Решения,от 75 000 руб.,"Активно участвовать во всех этапах разработки в составе scrum-команды: от сбора и анализа требований, до написания кода и выкатки..."
"Senior Front-end Разработчик в офис (Typescript, React) (удаленную работу не предлагаем)",https://ekaterinburg.hh.ru/vacancy/40163339?query=react,Москва,ООО Диджитал Лайн,2 500-3 500 EUR,
Frontend разработчик в Юздеск на react,https://ekaterinburg.hh.ru/vacancy/41760834?query=react,Москва,ООО Ближе к делу,120 000-180 000 руб.,Дополнительные инструкции.
Senior Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/40994831?query=react,Санкт-Петербург,BookedBy,3 500-5 500 USD,"Bookedby, создатель Salon Ultimate, предоставляет самое передовое в отрасли облачное программное обеспечение и решение для точек продаж, переосмысливающее способ работы..."
"Frontend Developer Vue, JavaScript/TypeScript",https://ekaterinburg.hh.ru/vacancy/41561798?query=react,Санкт-Петербург,Plumsail,120 000-200 000 руб.,"Разработка новых возможностей продуктов с использованием JavaScript (ES6, ES7, TypeScript), HTML и CSS (SCSS). Исследование и применение современных..."
Фронтенд/Frontend разработчик на React (JavaScript),https://ekaterinburg.hh.ru/vacancy/41710612?query=react,Москва,IronMathTeam,100 000-160 000 руб.,Разработка фронтенд приложения на базе React. Реализация функциональных требований по интеграции с существующей системой. Проработка и реализация идей по оптимизации...
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/37619434?query=react,Санкт-Петербург,4people,от 150 000 руб.,
Младший Frontend разработчик,https://ekaterinburg.hh.ru/vacancy/41766886?query=react,Новосибирск,ООО Интабия,от 30 000 руб.,
React / React Native Developer,https://ekaterinburg.hh.ru/vacancy/41191606?query=react,Киев,Peiko,1 700-2 500 USD,
"Frontend-разработчик (Web, JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/41886436?query=react,Москва,АО ФинТех,150 000-250 000 руб.,Разработка Single Page Application клиентской части продуктов компании. Документирование разработанных решений. Разработка REST API (CRUD) взаимодействие.
Node.js разработчик,https://ekaterinburg.hh.ru/vacancy/41425010?query=react,Самара,CASTLE,150 000-250 000 руб.,"Создавать новые продукты. Улучшать и развивать существующие системы. Ускорять и оптимизировать приложения. Писать тесты. Читать код (мы верим, что code..."
"Front-end developer (TypeScript, React)",https://ekaterinburg.hh.ru/vacancy/40878043?query=react,Москва,ApprovalMax,160 000-250 000 руб.,Разработка нового функционала (frontend). Развитие существующего продукта.
Middle+/Senior React Web Developer,https://ekaterinburg.hh.ru/vacancy/41016731?query=react,Киев,Mobigility Inc.,2 500-4 000 USD,"Развивать frontend-часть веб-сервиса платформы, внедрять новые фичи, рефакторить и улучшать существующие."
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/39125075?query=react,Санкт-Петербург,Sibedge,100 000-180 000 руб.,Ваше резюме →. Ответы на несколько уточняющих вопросов от IT-Рекрутера (голосом или через мессенджер) — 10-15 мин →. Скайп с техническим...
Middle+/Senior React Web Developer,https://ekaterinburg.hh.ru/vacancy/41016499?query=react,Москва,Mobigility Inc.,180 000-300 000 руб.,"Развивать frontend-часть веб-сервиса платформы, внедрять новые фичи, рефакторить и улучшать существующие."
Frontend developer (React),https://ekaterinburg.hh.ru/vacancy/41883670?query=react,Москва,ООО ТК Проект,от 187 000 руб.,
"Frontend developer (Javascript, React)",https://ekaterinburg.hh.ru/vacancy/41883947?query=react,Москва,"Bright Pattern, Inc",до 3 500 USD,"Используем современные подходы в разработке компонентов (Typescript, React hooks, композицию и др.), стандарт языка ES6/7. Yarn как менеджер..."
Senior React Developer,https://ekaterinburg.hh.ru/vacancy/41484345?query=react,Новосибирск,SkyTech Solutions,150 000-180 000 руб.,Проектирование и разработка web приложений.
"Middle Frontend developer (React, Angularjs)",https://ekaterinburg.hh.ru/vacancy/41524834?query=react,Москва,ASD Korea,от 150 000 руб.,Доработка текущего Frontend веб-клиента сервиса Cloudike на Angularjs. Разработка нового Frontend веб-клиента сервиса Cloudike на React.
"Middle frontend разработчик (JavaScript / React / React Native), удаленно",https://ekaterinburg.hh.ru/vacancy/41510900?query=react,Москва,ООО Диджитал Пайн,60 000-120 000 руб.,
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/40026958?query=react,Москва,evrone.ru,до 220 000 руб.,Работали с JS-фреймворками и компонентными библиотеками. Приоритет сейчас React/Redux. Осознанно использовали Redux с middlewares и high-order addons...
